Wavelength,energyDensity
337.5577,3
337.5603,2
337.6435,3
,
337.7146,21
339.0209,23
340.7223,
340.7276,17
340.9706,16
,
340.976,
341.9849,6
342.057,7
342.8509,2
343.7141,8
,
343.8556,
344.5023,
344.7855,15bl
345.31,4
345.4731,6
,
345.50754,9bl
345.7933,10
345.8923,8
346.0019,8
346.8403,4
,
346.8811,
347.0277,20
347.0672,21
347.0783,
347.1401,6
,
347.4926,5
347.8205,3
348.025,
348.1156,
348.5932,
,
348.816,4
348.8273,6
348.8332,
349.0876,
349.404,
,
349.4277,
349.447,6
349.5234,8
349.6278,8
349.779,3
,
350.1668,4
350.5885,6
350.608,
350.6774,
350.7421,3
,
350.8274,
351.1651,5
351.4821,2
351.5242,
351.6031,3
,
351.6805,4
351.7312,1
352.3096,
352.5567,
353.1378,
,
353.2803,
353.3,2
353.3781,
353.6531,
353.919,1
,
354.3498,2
354.3697,
354.5046,1
354.6214,1bl
354.9098,3
,
354.9368,
355.0859,1
356.2128,
356.6569,2
357.3763,
,
357.4845,3
358.1484,4
358.4661,
359.6444,
360.5127,3
,
360.5525,2
362.741,
362.7737,
363.9477,
363.9676,
,
364.6558,3
366.2504,1
366.7907,3
366.9472,3
367.8975,
,
368.2174,
368.3322,1
368.6393,
371.2744,25
371.396,
,
371.562,
372.6032,
372.6032,
372.7319,27
372.8359,
,
372.8815,
372.8815,
372.9221,14
373.5722,
373.5786,15
,
373.6095,
373.8337,
373.846,
373.9761,20
373.999,
,
374.014,
374.164,11
374.4286,
374.8865,6
374.9484,30
,
375.2089,
375.906,
376.1403,9
376.2465,19
376.4748,
,
376.483,
376.5031,
377.4,
377.742,16
378.498,
,
378.67,
379.4359,14
380.2025,4
380.2984,19
381.373,6
,
382.1532,15
383.0281,13
383.30706,12
383.5861,4
383.6697,
,
384.28138,15
384.35832,14
384.7893,14
385.07987,14
385.10332,17
,
385.14735,15
385.2395,9
385.557,
385.61342,16
385.71642,17
,
386.053,
386.34969,17
386.3718,
386.41272,11
386.44309,17
,
386.46671,16
387.24382,10
387.40918,12
387.57997,13
388.21937,20
,
388.24457,13
388.31368,14
389.3518,11
389.63032,10
390.74549,15
,
391.1958,20
391.2117,16
391.7535,7
391.9272,18
392.65806,5
,
394.2873,
394.50376,19
394.6199,
394.9345,
395.43617,20
,
396.2963,
396.6323,
396.737,
397.2073,8
397.3256,24
,
397.4824,6
398.27141,18
398.541,7
399.2757,5
400.7473,7
,
402.3868,5
402.6304,5
403.2241,7
403.24816,5
403.3155,8
,
403.5073,9
403.54891,6bl
404.12779,9
404.1955,7
404.4948,8
,
404.61183,7
404.7798,6
404.82163,11
405.40418,9*
405.4094,9*
,
405.4094,9*
405.4521,8*
405.4521,8*
406.06,13*
406.06,13*
,
406.1029,12
406.1756,
406.29367,14
406.50522,7
406.9623,20
,
406.98819,21
407.12389,14
407.21525,23
407.58617,24
407.77174,6
,
407.88424,17
408.3899,15
408.46474,13
408.51124,19
408.65881,
,
408.71528,15
408.82672,9
408.92878,19
409.29287,17
409.41401,11
,
409.56437,15
409.61896,11
409.6526,15
409.6934,9
409.72249,17*
,
409.72568,17*
409.82435,14
410.29994,14
410.47235,16
410.49899,18
,
410.60214,9
410.7092,13
410.73294,6
410.87538,9
410.93032,6
,
410.9841,6
411.0192,10
411.07863,15
411.20186,15
411.3834,12
,
411.4178,
411.45039,8
411.92165,22
412.02756,
412.02783,17
,
412.05468,14
412.14626,14
412.6098,
412.93198,11
413.28004,17
,
414.0701,8
414.1933,12
414.207,12
414.2273,10
414.332,9
,
414.3523,12
414.3739,12
414.5689,6
414.5906,10
414.6076,13
,
415.32977,18
415.65302,13
416.92236,15
418.544,19
418.9581,
,
418.9788,20
419.2512,12
419.6273,6
419.6697,10
422.1701,7
,
422.4806,6
422.5262,
423.7921,9
424.4765,
424.5512,6
,
425.3894,15
425.3908,
425.4122,15
425.7544,9
427.3101,11
,
427.4243,10
427.55507,16
427.5993,11
427.6282,11
427.662,
,
427.67489,15
427.7426,14*
427.7427,14*
427.7695,6
427.78935,12
,
427.9165,7
428.13134,11
428.2021,
428.2961,14
428.32512,9
,
428.3721,12
428.4011,6
428.43992,7
428.5684,15
428.7727,5
,
428.882,13*
428.8829,13*
429.12535,14
429.18528,7
429.22138,13
,
429.2977,2
429.47815,15
429.49188,
430.2853,9*
430.2853,9*
,
430.3071,8
430.36107,11
430.38231,15
430.40838,
430.53874,10
,
430.5965,4*
430.5965,4*
430.635,5
430.72324,12
430.8998,11*
,
430.9007,11*
431.2111,11
431.34415,12
431.5385,8*
431.5394,8*
,
431.5826,7
431.7139,19
431.76958,11
431.963,19
431.9866,
,
432.24477,5
432.4788,6
432.5761,15
432.746,12
432.7849,6
,
432.8591,11
433.1159,
433.1176,12
433.1466,6
433.1857,11
,
433.2333,
433.2694,11
433.4026,6
433.4184,9
433.4324,
,
433.5359,6
433.6859,17
434.0323,12
434.2003,15
434.2801,6*
,
434.2815,6*
434.3194,7w*
434.3207,7w*
434.4371,12
434.4985,6
,
434.5552,
434.556,19
434.6167,5
434.7217,10*
434.7224,10*
,
434.7413,19
434.9426,23
435.126,21
435.1457,
435.3592,12
,
435.4208,4
435.4589,
435.7221,10*
435.7254,10*
435.7257,10*
,
435.7522,
435.8442,7
435.9395,7
436.653,9
436.6895,20
,
436.9272,13
437.1609,11
437.4322,9
437.8029,8
437.8428,9*
,
437.8428,9*
438.4446,
438.47,
438.5325,
