Wavelength,Flux,BestFit,SkyFlux
3885.975,92.453,85.382,5.458
3886.870,86.331,83.379,5.268
3887.765,80.560,80.782,5.251
3888.660,76.650,77.033,4.953
3889.556,73.429,72.663,4.684
3890.451,68.112,68.602,5.067
3891.347,58.767,64.642,5.896
3892.243,50.511,62.557,6.407
3893.140,57.073,64.270,6.641
3894.036,71.471,69.133,6.699
3894.933,78.027,74.440,6.410
3895.830,75.472,77.811,6.621
3896.727,78.796,79.477,7.047
3897.625,84.941,80.744,7.249
3898.522,88.384,82.367,7.321
3899.420,87.981,84.334,7.482
3900.318,88.702,85.953,7.616
3901.216,90.533,86.363,7.378
3902.114,86.769,86.292,7.439
3903.013,83.380,87.016,7.617
3903.912,92.643,88.496,7.656
3904.811,93.531,89.639,8.068
3905.710,89.255,89.398,8.993
3906.609,89.864,88.029,10.131
3907.509,90.657,86.817,10.932
3908.409,86.700,85.589,11.528
3909.309,88.555,85.509,11.593
3910.209,93.554,87.273,11.473
3911.110,97.381,90.137,11.283
3912.010,99.460,92.264,11.022
3912.911,99.989,93.173,10.695
3913.812,93.809,94.007,11.157
3914.714,99.167,94.747,10.651
3915.615,101.078,94.587,10.408
3916.517,98.092,93.232,9.089
3917.419,96.291,91.926,9.441
3918.321,96.387,91.839,9.263
3919.223,99.011,91.621,8.749
3920.126,96.724,90.961,8.228
3921.029,96.197,90.068,7.615
3921.931,96.355,89.191,7.099
3922.835,94.625,88.560,7.111
3923.738,94.572,88.332,6.865
3924.642,97.919,88.782,6.890
3925.545,95.112,89.709,7.276
3926.449,94.787,90.587,7.146
3927.354,97.745,90.626,6.306
3928.258,97.479,89.059,5.570
3929.163,91.052,86.236,5.562
3930.067,87.750,82.701,5.170
3930.972,83.756,78.095,4.902
3931.878,82.016,72.477,4.690
3932.783,76.693,66.270,4.584
3933.689,65.042,59.505,4.284
3934.595,52.778,52.274,4.067
3935.501,36.432,45.654,3.907
3936.407,27.286,41.139,4.090
3937.314,25.072,40.010,4.447
3938.220,31.189,42.833,4.814
3939.127,45.770,48.925,5.641
3940.034,62.811,56.596,6.789
3940.942,75.130,64.380,7.615
3941.849,83.703,71.610,8.214
