Wavelength,Flux,BestFit,SkyFlux
4169.654,67.682,69.008,7.216
4170.614,69.484,69.674,7.914
4171.574,64.122,69.511,6.681
4172.535,64.984,66.995,6.790
4173.496,62.241,63.536,7.369
4174.457,63.662,61.798,6.009
4175.418,63.670,63.062,5.506
4176.380,65.372,65.104,6.780
4177.342,72.659,66.390,6.543
4178.304,65.385,66.074,5.619
4179.266,64.125,66.072,6.714
4180.228,65.299,67.723,7.378
4181.191,63.850,69.394,6.850
4182.154,66.506,68.692,5.860
4183.117,64.990,66.902,5.377
4184.080,61.518,65.559,4.949
4185.044,64.638,66.388,4.861
4186.007,66.075,68.240,5.659
4186.971,62.275,67.353,6.600
4187.936,60.290,64.578,5.995
4188.900,63.337,62.893,4.546
4189.865,65.051,64.439,4.363
4190.830,62.193,67.219,6.487
4191.795,64.052,68.552,6.340
4192.760,64.735,68.315,5.656
4193.725,66.579,68.770,6.566
4194.691,66.433,71.081,6.374
4195.657,68.965,71.031,5.150
4196.623,67.630,68.405,4.541
4197.590,65.340,66.268,4.554
4198.556,66.133,66.137,4.384
4199.523,64.537,63.590,4.104
4200.490,60.925,62.399,4.079
4201.458,62.746,62.826,4.766
4202.425,64.288,63.720,5.487
4203.393,63.992,64.300,5.568
4204.361,65.877,64.767,5.061
4205.329,61.074,65.960,4.850
4206.298,67.188,67.814,5.603
4207.266,65.578,68.466,5.959
4208.235,65.357,69.143,5.970
4209.204,67.994,70.260,6.040
4210.174,67.467,69.655,5.954
4211.143,65.520,68.690,5.880
4212.113,66.249,69.335,6.101
4213.083,67.382,70.089,6.105
4214.053,67.014,71.085,5.433
4215.023,68.831,71.822,5.174
4215.994,65.480,70.033,5.326
4216.965,62.732,66.879,5.047
4217.936,60.277,65.925,4.946
4218.907,64.954,66.501,5.500
4219.879,67.416,67.285,5.640
4220.851,68.532,68.116,5.986
4221.823,65.255,69.485,6.515
4222.795,65.002,70.040,6.116
4223.767,70.530,68.878,4.975
4224.740,71.358,66.740,4.286
4225.713,66.419,63.716,4.065
